token,score
jesus,1334.870
lord,1203.393
shall,1194.218
israel,1177.844
king,951.541
god,770.125
christ,706.741
ot,631.652
faith,571.284
muhammad,553.875
certainly,515.039
land,501.051
believers,486.937
sons,464.910
torment,441.627
things,439.799
judah,429.108
house,407.829
believe,363.510
david,350.463
hand,320.649
says,313.907
disciples,309.426
unbelievers,279.765
quran,269.230
egypt,264.198
children,260.114
revelations,251.181
unjust,239.405
offering,238.176
guidance,237.577
son,233.903
deeds,231.855
receive,229.746
nt,225.637
suffer,224.712
truth,224.585
messenger,219.348
ask,218.530
true,215.862
hell,215.640
angels,214.032
paul,212.125
peter,212.125
want,208.186
revealed,207.194
having,207.038
judgment,198.720
knowing,197.122
reward,190.923
evidence,182.420
created,176.171
john,174.635
world,171.323
surely,169.225
received,164.254
disbelievers,164.149
heart,163.951
hosts,162.762
cities,157.069
think,155.066
say,152.697
sword,151.221
gospel,149.177
knows,148.067
hour,147.221
saul,142.619
worship,140.628
asked,139.959
burnt,138.111
immediately,135.507
wants,135.507
men,135.017
gold,133.739
life,132.323
altar,132.158
aaron,132.077
nations,131.221
set,131.111
wanted,130.768
jerusalem,129.683
philistines,128.591
forgiving,127.410
year,126.440
favors,126.283
babylon,125.705
hearts,125.438
grace,122.427
human,122.414
follow,122.051
levites,121.163
joshua,119.121
wicked,118.879
promise,117.846
satan,117.483
paradise,116.273
tabernacle,116.250
iniquity,116.238
city,113.972
replied,113.285
went,112.671
patience,112.481
jews,109.063
equal,108.906
pious,108.802
silver,108.714
tell,107.567
pharisees,107.308
dwell,106.142
jacob,104.823
man,104.653
aware,104.602
thousand,104.251
ones,104.006
merciful,103.454
majestic,103.026
heavens,102.691
authority,102.397
church,101.333
mary,101.333
rejected,100.912
young,100.554
daughter,100.179
righteously,100.067
disbelief,99.840
guide,98.891
pagans,98.346
field,98.345
forgiveness,97.902
kings,97.780
princes,97.310
certain,97.301
worldly,96.853
anger,96.842
offerings,96.673
took,96.612
believed,96.448
guardian,94.917
pass,94.838
simon,93.867
mankind,92.873
jinn,92.374
religion,92.374
sustenance,91.609
years,91.220
assuredly,91.201
cut,91.171
miracles,90.441
book,89.981
preach,89.773
resurrection,89.388
like,89.319
ephraim,89.229
waters,88.554
prayers,88.415
wilderness,88.333
solomon,88.172
spirit,88.092
repentance,87.895
moab,87.809
days,87.690
fathers,87.551
existence,86.403
striving,85.652
daughters,85.457
war,85.402
according,85.286
love,85.219
fact,85.116
camp,84.105
grain,83.561
preached,82.983
statutes,82.383
deny,82.355
month,82.028
apostles,81.925
dwelt,81.749
